id,time,snr,rssi,collision,missed_start,missed_end,interrupted
312,156000.156032,140.0,20.0,False,False,False,
313,157000.07603199998,128.0,8.0,False,False,False,
314,157000.156032,140.0,20.0,False,False,False,
315,158000.07603199998,128.0,8.0,False,False,False,
316,158000.156032,140.0,20.0,False,False,False,
317,159000.07603199998,128.0,8.0,False,False,False,
318,159000.156032,140.0,20.0,False,False,False,
319,160000.07603199998,128.0,8.0,False,False,False,
320,160000.156032,140.0,20.0,False,False,False,
321,161000.07603199998,128.0,8.0,False,False,False,
322,161000.156032,140.0,20.0,False,False,False,
323,162000.07603199998,128.0,8.0,False,False,False,
324,162000.156032,140.0,20.0,False,False,False,
325,163000.07603199998,128.0,8.0,False,False,False,
326,163000.156032,140.0,20.0,False,False,False,
327,164000.07603199998,128.0,8.0,False,False,False,
328,164000.156032,140.0,20.0,False,False,False,
329,165000.07603199998,128.0,8.0,False,False,False,
330,165000.156032,140.0,20.0,False,False,False,
331,166000.07603199998,128.0,8.0,False,False,False,
332,166000.156032,140.0,20.0,False,False,False,
333,167000.07603199998,128.0,8.0,False,False,False,
334,167000.156032,140.0,20.0,False,False,False,
335,168000.07603199998,128.0,8.0,False,False,False,
336,168000.156032,140.0,20.0,False,False,False,
337,169000.07603199998,128.0,8.0,False,False,False,
338,169000.156032,140.0,20.0,False,False,False,
339,170000.07603199998,128.0,8.0,False,False,False,
340,170000.156032,140.0,20.0,False,False,False,
341,171000.07603199998,128.0,8.0,False,False,False,
342,171000.156032,140.0,20.0,False,False,False,
343,172000.07603199998,128.0,8.0,False,False,False,
344,172000.156032,140.0,20.0,False,False,False,
345,173000.07603199998,128.0,8.0,False,False,False,
346,173000.156032,140.0,20.0,False,False,False,
347,174000.07603199998,128.0,8.0,False,False,False,
348,174000.156032,140.0,20.0,False,False,False,
349,175000.07603199998,128.0,8.0,False,False,False,
350,175000.156032,140.0,20.0,False,False,False,
351,176000.07603199998,128.0,8.0,False,False,False,
352,176000.156032,140.0,20.0,False,False,False,
353,177000.07603199998,128.0,8.0,False,False,False,
354,177000.156032,140.0,20.0,False,False,False,
355,178000.07603199998,128.0,8.0,False,False,False,
356,178000.156032,140.0,20.0,False,False,False,
357,179000.07603199998,128.0,8.0,False,False,False,
358,179000.156032,140.0,20.0,False,False,False,
359,180000.07603199998,128.0,8.0,False,False,False,
360,180000.156032,140.0,20.0,False,False,False,
361,181000.07603199998,128.0,8.0,False,False,False,
362,181000.156032,140.0,20.0,False,False,False,
363,182000.07603199998,128.0,8.0,False,False,False,
364,182000.156032,140.0,20.0,False,False,False,
365,183000.07603199998,128.0,8.0,False,False,False,
366,183000.156032,140.0,20.0,False,False,False,
367,184000.07603199998,128.0,8.0,False,False,False,
368,184000.156032,140.0,20.0,False,False,False,
369,185000.07603199998,128.0,8.0,False,False,False,
370,185000.156032,140.0,20.0,False,False,False,
371,186000.07603199998,128.0,8.0,False,False,False,
372,186000.156032,140.0,20.0,False,False,False,
373,187000.07603199998,128.0,8.0,False,False,False,
374,187000.156032,140.0,20.0,False,False,False,
375,188000.07603199998,128.0,8.0,False,False,False,
376,188000.156032,140.0,20.0,False,False,False,
377,189000.07603199998,128.0,8.0,False,False,False,
378,189000.156032,140.0,20.0,False,False,False,
379,190000.07603199998,128.0,8.0,False,False,False,
380,190000.156032,140.0,20.0,False,False,False,
381,191000.07603199998,128.0,8.0,False,False,False,
382,191000.156032,140.0,20.0,False,False,False,
383,192000.07603199998,128.0,8.0,False,False,False,
384,192000.156032,140.0,20.0,False,False,False,
385,193000.07603199998,128.0,8.0,False,False,False,
386,193000.156032,140.0,20.0,False,False,False,
387,194000.07603199998,128.0,8.0,False,False,False,
388,194000.156032,140.0,20.0,False,False,False,
389,195000.07603199998,128.0,8.0,False,False,False,
390,195000.156032,140.0,20.0,False,False,False,
391,196000.07603199998,128.0,8.0,False,False,False,
392,196000.156032,140.0,20.0,False,False,False,
393,197000.07603199998,128.0,8.0,False,False,False,
394,197000.156032,140.0,20.0,False,False,False,
395,198000.07603199998,128.0,8.0,False,False,False,
396,198000.156032,140.0,20.0,False,False,False,
397,199000.07603199998,128.0,8.0,False,False,False,
398,199000.156032,140.0,20.0,False,False,False,
399,200000.07603199998,128.0,8.0,False,False,False,
400,200000.156032,140.0,20.0,False,False,False,
401,201000.07603199998,128.0,8.0,False,False,False,
402,201000.156032,140.0,20.0,False,False,False,
403,202000.07603199998,128.0,8.0,False,False,False,
404,202000.156032,140.0,20.0,False,False,False,
405,203000.07603199998,128.0,8.0,False,False,False,
406,203000.156032,140.0,20.0,False,False,False,
407,204000.07603199998,128.0,8.0,False,False,False,
408,204000.156032,140.0,20.0,False,False,False,
409,205000.07603199998,128.0,8.0,False,False,False,
410,205000.156032,140.0,20.0,False,False,False,
411,206000.07603199998,128.0,8.0,False,False,False,
412,206000.156032,140.0,20.0,False,False,False,
413,207000.07603199998,128.0,8.0,False,False,False,
414,207000.156032,140.0,20.0,False,False,False,
415,208000.07603199998,128.0,8.0,False,False,False,
416,208000.156032,140.0,20.0,False,False,False,
417,209000.07603199998,128.0,8.0,False,False,False,
418,209000.156032,140.0,20.0,False,False,False,
419,210000.07603199998,128.0,8.0,False,False,False,
420,210000.156032,140.0,20.0,False,False,False,
421,211000.07603199998,128.0,8.0,False,False,False,
422,211000.156032,140.0,20.0,False,False,False,
423,212000.07603199998,128.0,8.0,False,False,False,
424,212000.156032,140.0,20.0,False,False,False,
425,213000.07603199998,128.0,8.0,False,False,False,
426,213000.156032,140.0,20.0,False,False,False,
427,214000.07603199998,128.0,8.0,False,False,False,
428,214000.156032,140.0,20.0,False,False,False,
429,215000.07603199998,128.0,8.0,False,False,False,
430,215000.156032,140.0,20.0,False,False,False,
431,216000.07603199998,128.0,8.0,False,False,False,
432,216000.156032,140.0,20.0,False,False,False,
433,217000.07603199998,128.0,8.0,False,False,False,
434,217000.156032,140.0,20.0,False,False,False,
435,218000.07603199998,128.0,8.0,False,False,False,
436,218000.156032,140.0,20.0,False,False,False,
437,219000.07603199998,128.0,8.0,False,False,False,
438,219000.156032,140.0,20.0,False,False,False,
439,220000.07603199998,128.0,8.0,False,False,False,
440,220000.156032,140.0,20.0,False,False,False,
441,221000.07603199998,128.0,8.0,False,False,False,
442,221000.156032,140.0,20.0,False,False,False,
443,222000.07603199998,128.0,8.0,False,False,False,
444,222000.156032,140.0,20.0,False,False,False,
445,223000.07603199998,128.0,8.0,False,False,False,
446,223000.156032,140.0,20.0,False,False,False,
447,224000.07603199998,128.0,8.0,False,False,False,
448,224000.156032,140.0,20.0,False,False,False,
449,225000.07603199998,128.0,8.0,False,False,False,
450,225000.156032,140.0,20.0,False,False,False,
451,226000.07603199998,128.0,8.0,False,False,False,
452,226000.156032,140.0,20.0,False,False,False,
453,227000.07603199998,128.0,8.0,False,False,False,
454,227000.156032,140.0,20.0,False,False,False,
455,228000.07603199998,128.0,8.0,False,False,False,
456,228000.156032,140.0,20.0,False,False,False,
457,229000.07603199998,128.0,8.0,False,False,False,
458,229000.156032,140.0,20.0,False,False,False,
459,230000.07603199998,128.0,8.0,False,False,False,
460,230000.156032,140.0,20.0,False,False,False,
461,231000.07603199998,128.0,8.0,False,False,False,
462,231000.156032,140.0,20.0,False,False,False,
463,232000.07603199998,128.0,8.0,False,False,False,
464,232000.156032,140.0,20.0,False,False,False,
465,233000.07603199998,128.0,8.0,False,False,False,
466,233000.156032,140.0,20.0,False,False,False,
467,234000.07603199998,128.0,8.0,False,False,False,
468,234000.156032,140.0,20.0,False,False,False,
469,235000.07603199998,128.0,8.0,False,False,False,
470,235000.156032,140.0,20.0,False,False,False,
471,236000.07603199998,128.0,8.0,False,False,False,
472,236000.156032,140.0,20.0,False,False,False,
473,237000.07603199998,128.0,8.0,False,False,False,
474,237000.156032,140.0,20.0,False,False,False,
475,238000.07603199998,128.0,8.0,False,False,False,
476,238000.156032,140.0,20.0,False,False,False,
477,239000.07603199998,128.0,8.0,False,False,False,
478,239000.156032,140.0,20.0,False,False,False,
479,240000.07603199998,128.0,8.0,False,False,False,
480,240000.156032,140.0,20.0,False,False,False,
481,241000.07603199998,128.0,8.0,False,False,False,
482,241000.156032,140.0,20.0,False,False,False,
483,242000.07603199998,128.0,8.0,False,False,False,
484,242000.156032,140.0,20.0,False,False,False,
485,243000.07603199998,128.0,8.0,False,False,False,
486,243000.156032,140.0,20.0,False,False,False,
487,244000.07603199998,128.0,8.0,False,False,False,
488,244000.156032,140.0,20.0,False,False,False,
489,245000.07603199998,128.0,8.0,False,False,False,
490,245000.156032,140.0,20.0,False,False,False,
491,246000.07603199998,128.0,8.0,False,False,False,
492,246000.156032,140.0,20.0,False,False,False,
493,247000.07603199998,128.0,8.0,False,False,False,
494,247000.156032,140.0,20.0,False,False,False,
495,248000.07603199998,128.0,8.0,False,False,False,
496,248000.156032,140.0,20.0,False,False,False,
497,249000.07603199998,128.0,8.0,False,False,False,
498,249000.156032,140.0,20.0,False,False,False,
499,250000.07603199998,128.0,8.0,False,False,False,
500,250000.156032,140.0,20.0,False,False,False,
501,251000.07603199998,128.0,8.0,False,False,False,
502,251000.156032,140.0,20.0,False,False,False,
503,252000.07603199998,128.0,8.0,False,False,False,
504,252000.156032,140.0,20.0,False,False,False,
505,253000.07603199998,128.0,8.0,False,False,False,
506,253000.156032,140.0,20.0,False,False,False,
507,254000.07603199998,128.0,8.0,False,False,False,
508,254000.156032,140.0,20.0,False,False,False,
509,255000.07603199998,128.0,8.0,False,False,False,
510,255000.156032,140.0,20.0,False,False,False,
511,256000.07603199998,128.0,8.0,False,False,False,
512,256000.156032,140.0,20.0,False,False,False,
513,257000.07603199998,128.0,8.0,False,False,False,
514,257000.156032,140.0,20.0,False,False,False,
515,258000.07603199998,128.0,8.0,False,False,False,
516,258000.156032,140.0,20.0,False,False,False,
517,259000.07603199998,128.0,8.0,False,False,False,
518,259000.156032,140.0,20.0,False,False,False,
519,260000.07603199998,128.0,8.0,False,False,False,
520,260000.156032,140.0,20.0,False,False,False,
521,261000.07603199998,128.0,8.0,False,False,False,
522,261000.156032,140.0,20.0,False,False,False,
523,262000.07603199998,128.0,8.0,False,False,False,
524,262000.156032,140.0,20.0,False,False,False,
525,263000.076032,128.0,8.0,False,False,False,
526,263000.15603199997,140.0,20.0,False,False,False,
527,264000.076032,128.0,8.0,False,False,False,
528,264000.15603199997,140.0,20.0,False,False,False,
529,265000.076032,128.0,8.0,False,False,False,
530,265000.15603199997,140.0,20.0,False,False,False,
531,266000.076032,128.0,8.0,False,False,False,
532,266000.15603199997,140.0,20.0,False,False,False,
533,267000.076032,128.0,8.0,False,False,False,
534,267000.15603199997,140.0,20.0,False,False,False,
535,268000.076032,128.0,8.0,False,False,False,
536,268000.15603199997,140.0,20.0,False,False,False,
537,269000.076032,128.0,8.0,False,False,False,
538,269000.15603199997,140.0,20.0,False,False,False,
539,270000.076032,128.0,8.0,False,False,False,
540,270000.15603199997,140.0,20.0,False,False,False,
541,271000.076032,128.0,8.0,False,False,False,
542,271000.15603199997,140.0,20.0,False,False,False,
543,272000.076032,128.0,8.0,False,False,False,
544,272000.15603199997,140.0,20.0,False,False,False,
545,273000.076032,128.0,8.0,False,False,False,
546,273000.15603199997,140.0,20.0,False,False,False,
547,274000.076032,128.0,8.0,False,False,False,
548,274000.15603199997,140.0,20.0,False,False,False,
549,275000.076032,128.0,8.0,False,False,False,
550,275000.15603199997,140.0,20.0,False,False,False,
551,276000.076032,128.0,8.0,False,False,False,
552,276000.15603199997,140.0,20.0,False,False,False,
553,277000.076032,128.0,8.0,False,False,False,
554,277000.15603199997,140.0,20.0,False,False,False,
555,278000.076032,128.0,8.0,False,False,False,
556,278000.15603199997,140.0,20.0,False,False,False,
557,279000.076032,128.0,8.0,False,False,False,
558,279000.15603199997,140.0,20.0,False,False,False,
559,280000.076032,128.0,8.0,False,False,False,
560,280000.15603199997,140.0,20.0,False,False,False,
561,281000.076032,128.0,8.0,False,False,False,
562,281000.15603199997,140.0,20.0,False,False,False,
563,282000.076032,128.0,8.0,False,False,False,
564,282000.15603199997,140.0,20.0,False,False,False,
565,283000.076032,128.0,8.0,False,False,False,
566,283000.15603199997,140.0,20.0,False,False,False,
567,284000.076032,128.0,8.0,False,False,False,
568,284000.15603199997,140.0,20.0,False,False,False,
569,285000.076032,128.0,8.0,False,False,False,
570,285000.15603199997,140.0,20.0,False,False,False,
571,286000.076032,128.0,8.0,False,False,False,
572,286000.15603199997,140.0,20.0,False,False,False,
573,287000.076032,128.0,8.0,False,False,False,
574,287000.15603199997,140.0,20.0,False,False,False,
575,288000.076032,128.0,8.0,False,False,False,
576,288000.15603199997,140.0,20.0,False,False,False,
577,289000.076032,128.0,8.0,False,False,False,
578,289000.15603199997,140.0,20.0,False,False,False,
579,290000.076032,128.0,8.0,False,False,False,
580,290000.15603199997,140.0,20.0,False,False,False,
581,291000.076032,128.0,8.0,False,False,False,
582,291000.15603199997,140.0,20.0,False,False,False,
583,292000.076032,128.0,8.0,False,False,False,
584,292000.15603199997,140.0,20.0,False,False,False,
585,293000.076032,128.0,8.0,False,False,False,
